Date,tic,open,high,low,close,volume,macd,rsi,cci,adx
20200701,Ethereum,6652.99,6847.8,6614.78,6799.47,190166387435,-23.544834631228696,52.3287910993134,-80.62918276934049,14.20213068155531
20200701,Monero,1869.34,1905.71,1863.04,1900.74,1896995742,-18.226160429062702,49.90633156432014,-82.30765730385377,24.669391595901267
20200702,Bitcoin,271700.15,272990.0,265974.96,268529.35,480903370735,-3058.93625959981,48.88978124935391,-113.33849317484751,21.2585316605707
20200702,Ethereum,6807.53,6840.14,6636.02,6751.7,182844006026,-25.961991060672517,51.78317593205978,-79.09648518100481,14.202130681555314
20200702,Monero,1900.86,1970.78,1855.05,1939.43,2824847581,-13.722801093768567,51.44852631781072,-31.880522915174403,5.267084026751474
20200703,Bitcoin,268699.24,270981.44,266754.33,267593.84,385136458997,-3241.3098853655974,48.57869120143159,-112.90728955926207,21.258531660570686
20200703,Ethereum,6752.76,6761.89,6623.04,6636.97,150445685926,-36.712162154273756,50.47558440501416,-96.75631104898738,15.040341149187503
20200703,Monero,1938.89,1940.84,1841.56,1847.73,2518605893,-17.353242627725876,47.83759224050316,-95.77677669585428,8.425455094672015
20200704,Bitcoin,267562.48,270480.2,266661.08,268983.73,361999081620,-3236.3827843517647,49.07670318031544,-103.2600972801057,21.44174396269924
20200704,Ethereum,6635.53,6775.9,6630.96,6747.03,153992032569,-35.936573556335134,51.68626559302699,-76.90296954617227,13.758052305781609
20200704,Monero,1847.7,1907.79,1845.15,1888.98,2005731032,-16.709249611564474,49.487366435389596,-84.36916298153449,8.425455094672008
20200705,Bitcoin,268795.32,269858.36,264404.53,267259.38,380050472843,-3333.195650687383,48.474177777077394,-112.27701674322194,25.901589630683393
20200705,Ethereum,6744.15,6770.09,6613.62,6705.52,155873000633,-38.230724101466876,51.19794009193351,-80.88360228019228,15.011398479636185
20200705,Monero,1885.98,1899.96,1817.14,1862.05,2241400497,-18.16253998794423,48.452419687442664,-111.72328985563279,15.138241450802695
20200706,Bitcoin,267340.6,276257.74,266922.61,276257.74,527125030982,-2653.2431596319075,51.6768771422951,-43.289048146830154,7.415262812562892
20200706,Ethereum,6708.97,7134.68,6689.65,7116.34,258797448612,-6.820491917721483,55.50216749512297,29.258520107060022,13.30637000505271
20200706,Monero,1862.84,1916.01,1849.91,1911.64,2184177922,-15.138279855615565,50.427328279022625,-53.857707968777426,10.190599905180559
20200707,Bitcoin,275043.92,275380.95,270709.14,272193.69,407150137487,-2414.4781804900267,50.21848673256348,-44.18717763368047,7.415262812562899
20200707,Ethereum,7089.2,7139.48,6890.5,7033.39,189503068404,11.249296738121302,54.49818268143362,49.58896445431529,13.60573652565197
20200707,Monero,1907.88,1914.22,1869.95,1898.45,1643308579,-13.648523001447984,49.90128150925708,-47.57388386943132,10.190599905180559
20200708,Bitcoin,272825.3,278643.15,272721.51,277994.4,580924081147,-1737.1614796753274,52.2098975789236,5.3619456558308825,1.0481119816500633
20200708,Ethereum,7051.63,7321.39,7029.18,7273.07,291682910336,44.39811352844754,56.83225967539391,128.67673212988635,24.208425109530452
20200708,Monero,1903.56,1978.64,1896.71,1953.34,2612880748,-7.947106400588154,52.05445180395688,45.38510930279806,7.9508325471437535
20200709,Bitcoin,276758.76,276858.12,271093.41,272354.75,528410622596,-1636.5901445108466,50.19055936047177,-28.548720811499802,3.028108204888432
20200709,Ethereum,7243.3,7259.25,7042.22,7133.73,247436206981,58.74800573137054,55.131459878917326,107.59804704431494,24.208425109530445
20200709,Monero,1944.84,2024.47,1918.5,1985.34,2734747623,-0.8369126944946856,53.26579342877424,116.56072839717626,18.19338683155591
20200710,Bitcoin,273285.84,273701.8,268707.54,273446.48,496865266134,-1452.0547663106117,50.57338712099321,-43.723762408593956,8.791699684090435
20200710,Ethereum,7157.32,7157.79,6976.45,7101.83,214581996565,66.77657648031163,54.74346261011097,87.59907253866946,18.21464190990264
20200710,Monero,1991.74,2013.55,1925.34,1983.76,2825748436,4.617249470615889,53.19714398312931,127.9663774662915,18.19338683155592
20200711,Bitcoin,273482.5,273954.76,271182.43,272386.93,390580860070,-1375.4506407541921,50.18612511455748,-31.921246684707555,8.063758712785855
20200711,Ethereum,7105.52,7119.75,7025.53,7058.75,166346338340,68.86919941489032,54.21047069376596,80.97461880043255,18.214641909902642
20200711,Monero,1983.69,2050.79,1980.08,2026.18,2627737209,12.221766842475745,54.81456806937346,202.84903815090664,25.85399697186592
20200712,Bitcoin,272407.82,274717.85,271122.44,273452.66,426026724289,-1214.7430137142073,50.579888709468456,-19.64993201009992,5.781330984360342
20200712,Ethereum,7058.79,7172.33,7008.99,7137.56,194448523486,76.01072223355004,55.03889760682376,93.78763554100888,21.667754074196488
20200712,Monero,2026.97,2070.56,2012.78,2037.92,2769226124,18.97696687065718,55.25725314741174,214.67181559445862,29.595417856752416
20200713,Bitcoin,273473.44,274334.2,271913.7,272483.25,516449291293,-1152.3211063328781,50.20644233738895,-19.67819059571629,5.781330984360332
20200713,Ethereum,7139.04,7201.79,7022.61,7063.06,229567337761,74.7966934192973,54.08205737684556,87.82158033807788,23.59974807335124
20200713,Monero,2037.92,2061.41,2007.87,2042.23,2578023132,24.397058438369868,55.42311198657685,190.07947535151996,27.882258984983345
20200714,Bitcoin,272130.63,273460.22,270155.87,272263.48,532703865570,-1107.814699053124,50.11965774229568,-33.565718833609324,10.743649021754962
20200714,Ethereum,7068.6,7128.34,7004.41,7075.55,216717627817,73.98950054865327,54.220087565062606,73.61363018864253,21.61882173045721
20200714,Monero,2037.24,2037.24,1974.07,2000.68,1997313448,25.051009855371603,53.447242313374666,125.3229190969987,16.545179000943996
20200715,Bitcoin,271736.72,272719.6,269679.61,270294.24,465877889086,-1217.4107081752154,49.3292678808243,-50.167466036265104,12.084693116285571
20200715,Ethereum,7060.87,7097.89,6971.27,7010.3,181982967560,67.30877108534332,53.353336120525675,51.8551518921446,17.939606221139208
20200715,Monero,1994.4,2132.43,1983.99,2075.91,2868170954,31.279136921622012,56.36120149017456,191.8895638416579,34.12613155717432
20200716,Bitcoin,271002.57,271660.98,267964.9,269240.92,463287063201,-1373.4284280494903,48.902541363001276,-71.76660314652317,16.890484868226665
20200716,Ethereum,7030.13,7046.5,6828.77,6888.32,171943643052,51.5769315219477,51.753392950737116,7.450012431218879,3.541803539076082
20200716,Monero,2080.51,2105.29,1967.46,1994.37,2518583695,29.29765086900784,52.664941123514645,120.27662671940146,29.078472509793983
20200717,Bitcoin,268274.36,269756.25,267022.57,268849.58,409663571590,-1511.2309330443968,48.74049024856341,-90.67504074312588,19.476315770535408
20200717,Ethereum,6865.39,6886.65,6818.93,6838.41,172150677111,34.68222039367902,51.104719412212894,-22.225517801794844,2.617104871662102
20200717,Monero,1987.23,2002.9,1970.52,1986.18,1513531884,26.757994834976444,52.308497369558154,68.24686203641258,29.07847250979398
20200718,Bitcoin,269676.24,272027.85,268192.19,269907.75,361071912860,-1517.5614320228342,49.21126423429812,-55.6683597237539,10.608240041943677
20200718,Ethereum,6862.02,6970.71,6846.38,6939.47,159056042978,29.112150758784082,52.35559535451515,6.481100281437168,9.960166493522236
20200718,Monero,1992.36,2033.91,1976.03,2011.47,1559308591,26.48073731731688,53.31777156532485,87.59923005405473,34.37286758472751
20200719,Bitcoin,269877.28,271156.01,268098.15,270696.84,381299473042,-1442.2797268689028,49.56856478670789,-53.56821297603497,10.900901369289954
20200719,Ethereum,6938.72,7047.83,6874.52,7027.99,184221837788,31.477798187183907,53.43501940853986,30.829910387467564,16.160093913169582
20200719,Monero,2011.34,2034.52,1994.52,2026.66,1455779684,27.173475873939196,53.923640276971106,93.71586642193557,34.475724207244184
20200720,Bitcoin,270738.2,271535.34,269273.27,270060.73,405363898570,-1417.605915402295,49.279456106468864,-43.668763837468184,9.357129164470788
20200720,Ethereum,7028.21,7060.07,6920.87,6959.2,165046621397,27.484982945193224,52.47920278976913,27.088597673747415,17.128230487310802
20200720,Monero,2026.97,2067.8,2025.28,2042.6,1647235937,28.678117468170967,54.56379186333562,114.66189765722774,39.963326521387124
20200721,Bitcoin,269945.98,277156.77,269559.31,276202.92,532365987435,-892.1442578098504,52.07174703822161,53.36444228601961,10.40095510905568
20200721,Ethereum,6961.94,7253.14,6943.63,7218.68,200538864371,44.74274897559826,55.57970390306947,89.07688424674805,30.634266456727595
20200721,Monero,2041.69,2106.8,2035.01,2050.15,2075618523,30.132430768857603,54.87100671213114,123.79468889024919,45.6638441875367
20200722,Bitcoin,275786.75,280359.29,274156.25,280207.63,486329358468,-150.82684222824173,53.78770019712299,160.3731560736001,19.282235803250746
20200722,Ethereum,7208.26,7736.23,7133.16,7712.86,226572018072,97.1756682418636,60.63929660382943,226.15955668049216,51.692191411651145
20200722,Monero,2046.6,2102.91,2039.86,2102.19,1825161496,35.07979952844016,56.94668623025901,129.50131161625504,45.66384418753669
20200723,Bitcoin,280507.64,282954.51,279208.09,282095.5,534284425807,582.2955414010212,54.58070979292598,255.38880786199337,25.665037711369614
20200723,Ethereum,7725.51,8172.89,7686.01,8087.67,302712588595,167.04754894059624,63.8683222722434,343.0536956362115,62.648372051902015
20200723,Monero,2104.21,2174.85,2087.2,2145.24,2430752831,41.99036138248971,58.577123279031525,165.11170564059543,54.72510003229053
20200724,Bitcoin,282216.72,283330.28,279152.96,280785.18,487346588462,1045.5163771059015,53.91640055319651,235.60654357474937,26.563839291414176
20200724,Ethereum,8088.39,8426.09,7926.96,8220.66,278699739599,230.49568853144774,64.92451554736164,332.8071019487738,67.25209663619806
20200724,Monero,2144.56,2148.9,2101.79,2107.45,2155212219,43.91150971392449,56.62966381177939,136.01481899822346,54.72510003229054
20200725,Bitcoin,281076.17,285939.92,280802.94,285131.31,489407434999,1743.2237967937835,55.76378659508711,255.55176581033135,32.6126663293652
20200725,Ethereum,8221.37,9037.97,8221.37,8958.88,317775275196,336.4683826435803,69.96600091503628,369.7883020311017,75.16077748090886
20200725,Monero,2109.13,2175.93,2106.73,2164.57,1772335647,49.4728480395338,58.77284232089137,149.52381408628548,57.75011818946266
