,0
512,1243529.5936706492
513,1236557.995070649
514,1235673.8750706492
515,1249799.958030649
516,1264154.0605906493
517,1233200.9405906491
518,1246166.140590649
519,1267387.7675106493
520,1283529.5275106493
521,1308515.7497506493
522,1318676.714330649
523,1338687.486170649
524,1323556.6937706491
525,1335073.3511306492
526,1334776.5173375183
527,1315351.1119131355
528,1319886.9919131356
529,1334306.9519131356
530,1364347.6678531356
531,1382128.6278531358
532,1484156.5754831354
533,1500883.8011431356
534,1495532.2194531355
535,1513342.1394531357
536,1504537.0194531356
537,1509675.7794531356
538,1575185.0496031358
539,1529572.6498931355
540,1548624.1385231356
541,1549750.2588631355
542,1588515.9288631354
543,1583484.8898331355
544,1562146.2898331357
545,1606873.8898331355
546,1628367.2098331356
547,1792997.0142931354
548,1789653.1041231356
549,1707527.1523531356
550,1781350.8478231356
551,1764603.0078231355
552,1762160.9278231356
553,1807813.8550331355
554,1871304.2075331355
555,1868549.0475331356
556,1843424.0872531354
557,1830583.2798731355
558,1917282.9998731355
559,2024528.3998731356
560,2042584.7598731355
561,2044619.9518131355
562,2135947.2585031353
563,2140080.1682931357
564,2108595.6282931357
565,2107312.5879631354
566,2192617.0679631354
567,2145611.3109431355
568,1965652.9125631356
569,1963065.0725631355
570,2032092.7525631355
571,2084574.5925631355
572,2249878.9525631354
573,2157140.4325631354
574,2198945.232563135
575,2221992.5125631355
576,2135506.5525631355
577,2173312.8395231357
578,2194967.0395231354
579,2178005.119523136
580,2081651.2595231356
581,2107352.8395931353
582,2076364.5041131356
583,2048882.3127731357
584,2131796.1086331354
585,2170273.7086331355
586,2181978.1460731355
587,2196144.6260731355
588,2408725.5460731355
589,2577765.622753136
590,2617063.0110331355
591,2701952.8110331353
592,2657723.0110331355
593,2581941.6510331356
594,2691638.0490831356
595,2630092.0922127757
596,2686864.2923341165
597,2788212.2123341165
598,2986878.1323341164
599,2968346.5323341163
600,3043607.412334116
601,3090728.0780341164
602,3256710.2580341166
603,3270262.1180341165
604,3312734.7580341166
605,3618860.638034116
606,3692090.4180341167
607,3601126.627374117
608,3834780.5473741167
609,4130554.3726141164
610,4423650.892614117
611,4576318.772614117
612,4523421.972614116
613,4310689.063654116
614,3997455.2892541164
615,3808121.8409741167
616,4189246.440974117
617,4162406.5669559916
618,3957555.6871742615
619,3902564.1571742613
620,3874760.67403223
621,3946969.191353551
622,3970827.8330292837
623,3917997.4713789783
624,3452973.045378979
625,3706666.894818979
626,3600904.0148189785
627,3625635.3993389793
