,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
4571,20191008,Monero,1720.78,1741.82,1757.12,1700.78,2210919702,-150.7202024,37.39962198,-77.6021946,39.21502706,0
4572,20191009,Bitcoin,264353.8,253100.92,265336.9,251239.02,5.96E+11,-14142.38929,42.14010533,-53.67378868,32.39401122,0
4573,20191009,Ethereum,5944.55,5598.35,5975.53,5556.29,2.79E+11,-73.74675886,49.91861064,8.730807121,3.793315697,0
4574,20191009,Monero,1766.71,1717.77,1771.73,1698.16,2310778385,-141.6748999,38.93687599,-68.35132938,35.69602162,0
4575,20191010,Bitcoin,263356.11,263319.5,264546.13,259843.06,5.40E+11,-12821.39623,41.91071569,-45.40873904,32.39401122,0
4576,20191010,Ethereum,5878.4,5925.37,5947.02,5775.56,2.57E+11,-46.91923314,49.2692562,14.32845486,3.793315697,0
4577,20191010,Monero,1716.08,1760.65,1766.78,1694.27,2902336191,-137.012456,37.8762307,-69.00987834,36.15534804,0
4578,20191011,Bitcoin,254278.84,262330.51,266501.94,254108.48,5.99E+11,-12364.43008,39.86810022,-52.12618306,38.01422454,0
4579,20191011,Ethereum,5578.58,5860.66,5968.14,5550.84,2.79E+11,-49.28308924,46.43696955,-14.28491224,7.396317914,0
4580,20191011,Monero,1664.78,1709.33,1721.59,1663.43,1960277301,-135.8904563,36.82479646,-75.34264447,39.79962397,0
4581,20191012,Bitcoin,255423.72,254783.65,257834.61,254712.46,4.45E+11,-11774.17353,40.24806338,-54.61641572,38.01422454,0
4582,20191012,Ethereum,5540.35,5592.66,5708.2,5514.56,2.30E+11,-53.62316922,46.08749843,-32.87956821,9.087763651,0
4583,20191012,Monero,1648.72,1668.77,1693.37,1646.66,2372133235,-134.7439271,36.49668588,-76.74425212,41.73289421,0
4584,20191013,Bitcoin,254947.3,255434.35,259542.6,253587.12,4.23E+11,-11215.54822,40.13888036,-51.82084178,34.21683012,0
4585,20191013,Ethereum,5578.6,5541.41,5670.54,5524.74,2.06E+11,-53.36114449,46.50419273,-32.46284158,9.087763651,0
4586,20191013,Monero,1639.97,1648.98,1662.58,1619.37,1961589541,-133.0081117,36.31432002,-79.30880849,44.81567917,0
4587,20191014,Bitcoin,256608.76,254958.61,257084.39,253834.06,4.64E+11,-10517.52817,40.71904131,-49.65850936,34.21683012,0
4588,20191014,Ethereum,5728.67,5577.53,5739.17,5566.31,2.23E+11,-40.57635423,48.13131075,-17.51163896,4.944306896,0
4589,20191014,Monero,1624.65,1639.49,1647.94,1613.61,1894122012,-131.3544886,35.98861145,-79.65302071,45.46665456,0
4590,20191015,Bitcoin,251158.14,256303.18,257443.56,250464.46,4.66E+11,-10285.5958,39.42238227,-55.18502736,38.0588661,0
4591,20191015,Ethereum,5552.66,5723.18,5747.14,5493.18,2.37E+11,-44.13805583,46.41831838,-29.45042354,8.886298827,0
4592,20191015,Monero,1597.43,1623.41,1641.7,1586.44,2331971087,-130.7333937,35.40494093,-83.20545196,48.52825566,0
4593,20191016,Bitcoin,245417.38,250209.75,250579.91,243513.29,4.90E+11,-10444.61999,38.10046208,-73.24710197,45.12619009,0
4594,20191016,Ethereum,5367.71,5530.26,5540.17,5308.26,2.35E+11,-61.17941115,44.68940758,-58.6012827,18.07028174,0
4595,20191016,Monero,1679.97,1590.35,1686.69,1582.31,4004343394,-122.1725542,38.53210458,-69.56249582,35.10246734,0
4596,20191017,Bitcoin,248619.9,246898.85,249568.49,245460.92,4.39E+11,-10194.71291,39.27555349,-68.31894239,45.12619009,0
4597,20191017,Ethereum,5461.73,5396.65,5488.46,5355.5,2.07E+11,-66.33352815,45.75197449,-51.52779489,18.07028174,0
4598,20191017,Monero,1719.66,1689.57,1862.33,1683.65,4037759521,-110.9069101,39.97756047,-33.50700963,1.902485172,0
4599,20191018,Bitcoin,244139.61,248050.59,249198.23,241964.26,4.79E+11,-10240.13975,38.2253505,-79.60915809,48.5035404,0
4600,20191018,Ethereum,5316.29,5450.01,5455.87,5236.17,2.32E+11,-81.21776765,44.3874082,-68.50239501,23.73849154,0
4601,20191018,Monero,1730.22,1716.35,1786.55,1699.68,2611625199,-99.9742612,40.36354897,-36.53628696,1.902485172,0
4602,20191019,Bitcoin,244066.5,243615.65,246940.49,242728.83,4.22E+11,-10164.86597,38.20810402,-84.71543965,48.5035404,0
4603,20191019,Ethereum,5282.84,5305.34,5365.18,5261.53,2.00E+11,-94.62202632,44.07464965,-75.49277873,23.73849154,0
4604,20191019,Monero,1671.14,1720.68,1720.68,1643.38,2503405129,-94.98242218,38.91517878,-62.64264383,7.38873488,0
4605,20191020,Bitcoin,251200.94,244349,253026.12,242871.27,4.74E+11,-9420.922736,40.89990772,-65.41523324,32.30862506,0
4606,20191020,Ethereum,5362.93,5284.72,5399.11,5230.83,2.08E+11,-97.65667881,45.0339386,-70.68357829,21.01819201,0
4607,20191020,Monero,1723.85,1670.49,1744.92,1654.03,2160661301,-85.7842301,40.87334402,-47.28403461,3.063776439,0
4608,20191021,Bitcoin,251862.17,251293.72,253480.59,250416.91,4.85E+11,-8677.952594,41.14572128,-47.14395525,31.16672285,0
4609,20191021,Ethereum,5344.19,5362.63,5430.37,5294.29,2.08E+11,-100.4162877,44.84773171,-62.13648746,18.45353816,0
4610,20191021,Monero,1767.08,1724.21,1814.21,1710.51,2884326970,-74.15152428,42.43887189,-1.874669617,8.22968508,0
4611,20191022,Bitcoin,246562.93,251605.13,253230.39,246448.76,5.13E+11,-8419.69083,39.77419736,-75.48003444,36.29816303,0
4612,20191022,Ethereum,5258.97,5338.45,5361.19,5257.91,2.13E+11,-108.2322059,43.99202491,-84.16070187,20.54822506,0
4613,20191022,Monero,1729.34,1765.64,1790.38,1715.2,2889871602,-67.20314765,41.4477694,-4.663267466,8.22968508,0
4614,20191023,Bitcoin,229009.63,246123.06,246634.16,227627.61,6.69E+11,-9521.661347,35.69685564,-255.210657,53.77139912,0
4615,20191023,Ethereum,4949.22,5249.71,5254.52,4798.7,2.93E+11,-137.8317748,41.04718988,-209.6805308,40.99815853,0
4616,20191023,Monero,1615.46,1729.48,1754.05,1589.65,2690134987,-70.07785944,38.63155482,-113.8054505,11.78455862,0
4617,20191024,Bitcoin,229240.8,229737.6,230445.48,227818.27,4.98E+11,-10258.07869,35.78653608,-298.552071,53.77139912,0
4618,20191024,Ethereum,4961.06,4971.63,5021.6,4921.88,2.23E+11,-158.5070864,41.20282483,-198.7830802,40.99815853,0
4619,20191024,Monero,1638.27,1621.8,1670.15,1568.62,3011809191,-69.71191728,39.48355381,-141.935772,14.61188829,0
4620,20191025,Bitcoin,264237.99,228541.36,265178.89,228214.33,8.76E+11,-7926.344028,47.29771782,10.54332182,2.57946315,0
4621,20191025,Ethereum,5538.27,4948.41,5583.33,4941.58,3.16E+11,-126.8541016,48.11128037,-36.48513906,3.692209161,0
4622,20191025,Monero,1799.21,1634.9,1831.52,1615.73,4665618723,-55.79225414,45.05169488,48.78250865,9.24655836,0
4623,20191026,Bitcoin,282683.52,265028.51,306434.87,264877,1.36E+12,-4537.71939,51.99022261,370.7069304,33.5147179,0
4624,20191026,Ethereum,5498.83,5554.83,5991.33,5385.64,4.23E+11,-103.7553345,47.71499712,75.21625643,13.97897015,0
4625,20191026,Monero,1734.66,1802.81,1969.27,1696.92,5480055998,-49.40001374,43.39503864,128.1970568,23.73355907,0
4626,20191027,Bitcoin,292062.79,282583.68,298111.37,278634.19,9.97E+11,-1082.898271,54.13818984,337.3988904,33.5147179,0
4627,20191027,Ethereum,5633.57,5501.8,5753.23,5432.99,3.31E+11,-73.7271229,49.19395925,62.19027224,13.97897015,0
4628,20191027,Monero,1827.06,1736.35,1866.69,1702.61,5086663721,-36.4579449,46.31816507,123.4952764,23.73355907,0
4629,20191028,Bitcoin,283025.25,292472.12,299811.1,283025.25,9.46E+11,915.2677719,51.82688353,266.8081372,34.49399304,0
4630,20191028,Ethereum,5585.28,5638.32,5744.9,5511.49,3.18E+11,-53.21274489,48.68340164,61.14357118,13.97897015,0
4631,20191028,Monero,1820.83,1828.19,1882.91,1804.11,6801041801,-26.39965227,46.15193013,174.2482936,25.33719693,0
4632,20191029,Bitcoin,287940.42,282465.85,290643.18,281983.52,8.68E+11,2862.445409,52.95684029,213.3553578,33.20855761,0
4633,20191029,Ethereum,5813.44,5579.12,5859.38,5569.77,3.24E+11,-18.33301573,51.16086098,110.3034216,18.7260994,0
4634,20191029,Monero,1828.38,1817.32,1926.43,1807.11,6745872086,-17.61609363,46.39312806,186.5009616,29.58385045,0
4635,20191030,Bitcoin,279982.96,286574.79,286708.94,276322.44,8.43E+11,3720.608339,50.95511691,150.5964435,26.20174419,0
4636,20191030,Ethereum,5617.23,5788.89,5812.48,5521.55,3.19E+11,-6.448749117,49.05403671,64.68420355,15.8475444,0
4637,20191030,Monero,1782.89,1817.77,1821.33,1753.68,7099977094,-14.16246685,45.13306999,84.78058165,20.58290241,0
4638,20191031,Bitcoin,279584.56,279671.87,285163.62,274391.73,8.08E+11,4318.776922,50.85555607,127.2728282,23.82716957,0
4639,20191031,Ethereum,5590.94,5616.18,5736.34,5472.46,2.92E+11,0.838568021,48.77562594,43.07897177,12.86947804,0
4640,20191031,Monero,1802.06,1782.74,1838.62,1749.86,6187234323,-9.766007503,45.77511428,95.96501118,22.44633303,0
4641,20191101,Bitcoin,282463.67,280416.75,282907.54,278527.44,7.42E+11,4967.883282,51.56307727,121.2602479,23.82716957,0
4642,20191101,Ethereum,5611.08,5606.01,5644.32,5523.38,2.79E+11,8.14505788,49.00499301,39.37724655,12.86947804,0
4643,20191101,Monero,1856.59,1807.49,1872.43,1792.22,5956290286,-1.860223027,47.58015376,141.6791847,26.07227167,0
4644,20191102,Bitcoin,283928.34,281951.14,285535.1,281640.71,6.47E+11,5536.668114,51.92730107,119.0697552,25.99266959,0
4645,20191102,Ethereum,5600.35,5603.17,5654.65,5566.01,2.46E+11,12.92074016,48.88435399,42.71711406,13.4047522,0
4646,20191102,Monero,1897.17,1854.94,1929.86,1849.91,5832630344,7.59211778,48.88992185,185.6351413,31.85716864,0
4647,20191103,Bitcoin,281207.33,283930.44,285605.75,278341.99,6.43E+11,5702.140696,51.18757665,98.79911656,21.36247718,0
4648,20191103,Ethereum,5554.66,5602.46,5633.8,5475.28,2.67E+11,12.87034035,48.35993565,20.26660256,7.220353461,0
4649,20191103,Monero,1932.52,1898.91,1984.98,1865.72,7691391841,17.73122106,50.01539607,201.6457853,36.92130138,0
4650,20191104,Bitcoin,286614.03,281224.24,289428.82,279880.74,7.97E+11,6198.1065,52.57623567,104.2345368,24.78682729,0
4651,20191104,Ethereum,5674.52,5551.61,5725.3,5536.47,3.21E+11,22.24566425,49.82079414,53.92437796,12.37196583,0
4652,20191104,Monero,1922.42,1928.82,1941.28,1904.23,6259076794,24.66719974,49.6919734,173.3209542,36.92130138,0
4653,20191105,Bitcoin,283368.2,285505.86,286852.97,280772.01,7.95E+11,6257.123396,51.66345703,88.65141271,24.78682729,0
4654,20191105,Ethereum,5741.78,5650.95,5801.04,5590.97,3.04E+11,34.70296173,50.63152542,76.39317516,16.47562785,0
4655,20191105,Monero,1910.38,1914.61,1933.58,1883.35,8895794260,28.85980754,49.29884729,142.630791,32.65399413,0
4656,20191106,Bitcoin,283896.76,283289.72,285787.92,282229.61,7.02E+11,6274.219785,51.80441027,82.48923667,24.78682729,0
